iter	Passed	Remaining
798	1727	434
799	1729	432
800	1731	430
801	1733	428
802	1736	425
803	1738	423
804	1739	421
805	1741	419
806	1743	417
807	1745	414
808	1747	412
809	1749	410
810	1751	408
811	1752	405
812	1754	403
813	1756	401
814	1758	399
815	1760	396
816	1761	394
817	1763	392
818	1765	390
819	1767	387
820	1769	385
821	1771	383
822	1773	381
823	1774	379
824	1776	376
825	1778	374
826	1780	372
827	1782	370
828	1783	367
829	1785	365
830	1787	363
831	1789	361
832	1791	359
833	1792	356
834	1795	354
835	1796	352
836	1798	350
837	1800	348
838	1802	345
839	1803	343
840	1805	341
841	1807	339
842	1809	336
843	1811	334
844	1812	332
845	1814	330
846	1816	328
847	1818	325
848	1820	323
849	1821	321
850	1823	319
851	1825	317
852	1827	314
853	1829	312
854	1830	310
855	1832	308
856	1834	306
857	1836	303
858	1838	301
859	1839	299
860	1841	297
861	1843	295
862	1845	292
863	1847	290
864	1849	288
865	1850	286
866	1852	284
867	1854	282
868	1856	279
869	1858	277
870	1860	275
871	1861	273
872	1864	271
873	1866	269
874	1868	266
875	1870	264
876	1871	262
877	1873	260
878	1875	258
879	1877	256
880	1879	253
881	1880	251
882	1882	249
883	1884	247
884	1886	245
885	1888	242
886	1889	240
887	1891	238
888	1893	236
889	1895	234
890	1897	232
891	1898	229
892	1900	227
893	1902	225
894	1904	223
895	1906	221
896	1908	219
897	1909	216
898	1911	214
899	1913	212
900	1915	210
901	1917	208
902	1919	206
903	1921	204
904	1923	201
905	1925	199
906	1927	197
907	1929	195
908	1930	193
909	1932	191
910	1934	188
911	1936	186
912	1938	184
913	1940	182
914	1941	180
915	1944	178
916	1946	176
917	1947	173
918	1949	171
919	1951	169
920	1953	167
921	1955	165
922	1956	163
923	1958	161
924	1960	158
925	1962	156
926	1964	154
927	1965	152
928	1967	150
929	1969	148
930	1971	146
931	1973	143
932	1975	141
933	1976	139
934	1978	137
935	1980	135
936	1982	133
937	1984	131
938	1986	129
939	1987	126
940	1989	124
941	1991	122
942	1993	120
943	1995	118
944	1997	116
945	1998	114
946	2000	111
947	2002	109
948	2004	107
949	2006	105
950	2008	103
951	2010	101
952	2011	99
953	2013	97
954	2015	94
955	2017	92
956	2019	90
957	2020	88
958	2022	86
959	2024	84
960	2026	82
961	2028	80
962	2029	77
963	2031	75
964	2033	73
965	2035	71
966	2037	69
967	2038	67
968	2040	65
969	2042	63
970	2044	61
971	2046	58
972	2048	56
973	2050	54
974	2052	52
975	2053	50
976	2055	48
977	2057	46
978	2059	44
979	2061	42
980	2063	39
981	2064	37
982	2066	35
983	2068	33
984	2070	31
985	2072	29
986	2074	27
987	2075	25
988	2077	23
989	2079	21
990	2081	18
991	2083	16
992	2085	14
993	2087	12
994	2089	10
995	2091	8
996	2093	6
997	2095	4
998	2097	2
999	2099	0
